,0
522,pst:223283.9.peg.627
523,pst:223283.9.peg.1455
524,pst:223283.9.peg.2416
525,pst:223283.9.peg.4590
526,pst:223283.9.peg.3424
527,pst:223283.9.peg.2657
528,pst:223283.9.peg.4922
529,pst:223283.9.peg.819
530,pst:223283.9.peg.3932
531,pst:223283.9.peg.1871
532,pst:223283.9.peg.5046
533,pst:223283.9.peg.644
534,pst:223283.9.peg.190
535,pst:223283.9.peg.654
536,pst:223283.9.peg.4588
537,pst:223283.9.peg.94
538,pst:223283.9.peg.191
539,pst:223283.9.peg.4589
540,pst:223283.9.peg.658
541,pst:223283.9.peg.635
542,pst:223283.9.peg.5752
543,pst:223283.9.peg.2197
544,pst:223283.9.peg.4603
545,pst:223283.9.peg.631
546,pst:223283.9.peg.651
547,pst:223283.9.peg.633
548,pst:223283.9.peg.4541
549,pst:223283.9.peg.639
550,pst:223283.9.peg.3834
551,pst:223283.9.peg.623
552,pst:223283.9.peg.640
553,pst:223283.9.peg.632
554,pst:223283.9.peg.1560
555,pst:223283.9.peg.628
556,pst:223283.9.peg.5044
557,pst:223283.9.peg.184
558,pst:223283.9.peg.1497
559,pst:223283.9.peg.643
560,pst:223283.9.peg.622
561,pst:223283.9.peg.549
562,pst:223283.9.peg.647
563,pst:223283.9.peg.1575
564,pst:223283.9.peg.1773
565,pst:223283.9.peg.5257
566,pst:223283.9.peg.3748
567,pst:223283.9.peg.2
568,pst:223283.9.peg.4
569,pst:223283.9.peg.1842
570,pst:223283.9.peg.662
571,pst:223283.9.peg.4924
572,pst:223283.9.peg.3735
573,pst:223283.9.peg.3923
574,pst:223283.9.peg.1841
575,pst:223283.9.peg.1
576,pst:223283.9.peg.3599
577,pst:223283.9.peg.5652
578,pst:223283.9.peg.626
579,pst:223283.9.peg.547
580,pst:223283.9.peg.657
581,pst:223283.9.peg.4607
582,pst:223283.9.peg.4324
583,pst:223283.9.peg.625
584,pst:223283.9.peg.1663
585,pst:223283.9.peg.5751
586,pst:PSPTO_2411
587,pst:PSPTO_4892
588,pst:PSPTO_5255
589,pst:PSPTO_0994
590,pst:PSPTO_1340
591,pst:PSPTO_0805
592,pst:PSPTO_2662
593,pst:PSPTO_2936
594,pst:PSPTO_2917
595,pst:PSPTO_1779
596,pst:PSPTO_1695
597,pst:PSPTO_3113
598,pst:PSPTO_0075
599,pst:PSPTO_5511
600,pst:PSPTO_5510
601,pst:PSPTO_1508
602,pst:PSPTO_3204
603,pst:PSPTO_2294
604,pst:PSPTO_2922
605,pst:PSPTO_4860
606,pst:PSPTO_2203
607,pst:PSPTO_2202
608,pst:PSPTO_0225
609,pst:PSPTO_0209
610,pst:PSPTO_3364
611,pst:PSPTO_5501
612,pst:PSPTO_2301
613,pst:PSPTO_3600
614,pst:PSPTO_0221
615,pst:PSPTO_0455
616,pst:PSPTO_4951
617,pst:PSPTO_0518
618,pst:PSPTO_2175
619,pst:PSPTO_3205
620,pst:PSPTO_0728
621,pst:PSPTO_2921
622,pst:PSPTO_5381
623,pst:PSPTO_1841
624,pst:PSPTO_0410
625,pst:PSPTO_2701
626,pst:PSPTO_1670
627,pst:PSPTO_3446
628,pst:PSPTO_4991
629,pst:PSPTO_3447
630,pst:PSPTO_1174
631,pst:PSPTO_3669
632,pst:PSPTO_0885
633,pst:PSPTO_5240
634,pst:PSPTO_1833
635,pst:PSPTO_1834
636,pst:PSPTO_2760
637,pst:PSPTO_3126
638,pst:PSPTO_2730
639,pst:PSPTO_4569
640,pst:PSPTO_3190
641,pst:PSPTO_0437
642,pst:PSPTO_2309
643,pst:PSPTO_5288
644,pst:PSPTO_3806
645,pst:PSPTO_3675
646,pst:PSPTO_3802
647,pst:PSPTO_4494
648,pst:PSPTO_1104
