ids,growth,status
frozenset({'PSPTO_5187'}),118.52448094946398,optimal
frozenset({'PSPTO_2196'}),118.52448094946396,optimal
frozenset({'PSPTO_1671'}),3.722584873768334e-14,optimal
frozenset({'PSPTO_4842'}),118.52448094946391,optimal
frozenset({'223283.9.peg.3927'}),9.756426905875962e-15,optimal
frozenset({'PSPTO_1523'}),118.52448094946399,optimal
frozenset({'PSPTO_1349'}),118.52448094946399,optimal
frozenset({'PSPTO_1692'}),118.52448094946399,optimal
frozenset({'PSPTO_5464'}),118.52448094946402,optimal
frozenset({'PSPTO_0692'}),118.52448094946402,optimal
frozenset({'PSPTO_1287'}),104.30154323552848,optimal
frozenset({'PSPTO_1744'}),118.52448094946412,optimal
frozenset({'PSPTO_2787'}),118.52448094946412,optimal
frozenset({'PSPTO_0782'}),118.52448094946412,optimal
frozenset({'PSPTO_5335'}),118.52448094946412,optimal
frozenset({'PSPTO_4908'}),118.52448094946412,optimal
frozenset({'PSPTO_5360'}),118.51261843049907,optimal
frozenset({'PSPTO_5302'}),118.52448094946405,optimal
frozenset({'PSPTO_4918'}),118.52448094946405,optimal
frozenset({'PSPTO_2940'}),118.52448094946405,optimal
frozenset({'PSPTO_1554'}),113.78350171148517,optimal
frozenset({'PSPTO_5356'}),117.93896000180104,optimal
frozenset({'PSPTO_2119'}),118.5244809494645,optimal
frozenset({'PSPTO_2016'}),118.5244809494645,optimal
frozenset({'PSPTO_2242'}),118.5244809494645,optimal
frozenset({'PSPTO_1835'}),118.5244809494645,optimal
frozenset({'PSPTO_1746'}),118.5244809494645,optimal
frozenset({'PSPTO_4459'}),118.5244809494645,optimal
frozenset({'PSPTO_1633'}),118.5244809494645,optimal
frozenset({'PSPTO_0300'}),117.95612550884402,optimal
