Source,Target,UniprotKB ACC,PATRIC ID
fig|223283.9.peg.4452,PSPTO_4339,,fig|223283.9.peg.4452
fig|223283.9.peg.4478,PSPTO_4363,,fig|223283.9.peg.4478
fig|223283.9.peg.4509,PSPTO_4394,,fig|223283.9.peg.4509
fig|223283.9.peg.4514,PSPTO_4399,,fig|223283.9.peg.4514
fig|223283.9.peg.4517,PSPTO_4402,,fig|223283.9.peg.4517
fig|223283.9.peg.4523,PSPTO_4408,,fig|223283.9.peg.4523
fig|223283.9.peg.4526,PSPTO_4411,,fig|223283.9.peg.4526
fig|223283.9.peg.453,PSPTO_0433,,fig|223283.9.peg.453
fig|223283.9.peg.4540,PSPTO_4425,,fig|223283.9.peg.4540
fig|223283.9.peg.4541,PSPTO_4426,,fig|223283.9.peg.4541
fig|223283.9.peg.4544,PSPTO_4429,,fig|223283.9.peg.4544
fig|223283.9.peg.4547,PSPTO_4432,,fig|223283.9.peg.4547
fig|223283.9.peg.4553,PSPTO_4437,,fig|223283.9.peg.4553
fig|223283.9.peg.4554,PSPTO_4438,,fig|223283.9.peg.4554
fig|223283.9.peg.4556,PSPTO_4441,,fig|223283.9.peg.4556
fig|223283.9.peg.456,PSPTO_0436,,fig|223283.9.peg.456
fig|223283.9.peg.4564,PSPTO_4449,,fig|223283.9.peg.4564
fig|223283.9.peg.4574,PSPTO_4459,,fig|223283.9.peg.4574
fig|223283.9.peg.4576,PSPTO_4461,,fig|223283.9.peg.4576
fig|223283.9.peg.4588,PSPTO_4473,,fig|223283.9.peg.4588
fig|223283.9.peg.4589,PSPTO_4474,,fig|223283.9.peg.4589
fig|223283.9.peg.4590,PSPTO_4475,,fig|223283.9.peg.4590
fig|223283.9.peg.4593,PSPTO_4478,,fig|223283.9.peg.4593
fig|223283.9.peg.4603,PSPTO_4487,,fig|223283.9.peg.4603
fig|223283.9.peg.4607,PSPTO_4491,,fig|223283.9.peg.4607
fig|223283.9.peg.461,PSPTO_0441,,fig|223283.9.peg.461
