rxn03869_c,(PSPTO_1441 or PSPTO_0517),
rxn03871_c,PSPTO_1559,
rxn03872_c,PSPTO_1559,
rxn03878_c,PSPTO_2944,
rxn03879_c,PSPTO_2944,
rxn03880_c,PSPTO_2944,
rxn03881_c,PSPTO_2944,
rxn03901_c,PSPTO_3141,
rxn03903_c,PSPTO_4411,
rxn03915_c,(PSPTO_4103 or PSPTO_2176),
rxn03917_c,Unknown,
rxn03918_c,Unknown,
rxn03921_c,(PSPTO_4103 or PSPTO_2176),
rxn03923_c,PSPTO_2288,
rxn03931_c,PSPTO_3495,
rxn03932_c,(PSPTO_3500 and PSPTO_3498),
rxn03933_c,PSPTO_4408,
rxn03951_c,(PSPTO_0552 or PSPTO_0552),
rxn03970_c,PSPTO_1108,
rxn03971_c,PSPTO_1108,
rxn04043_c,PSPTO_2371,
rxn04052_c,(PSPTO_3035 or PSPTO_0083),
rxn04070_c,PSPTO_4214,
rxn04113_c,PSPTO_0809,
rxn04132_c,Unknown,
rxn04133_c,Unknown,
rxn04135_c,PSPTO_4877,
rxn04237_c,PSPTO_2944,
rxn04270_c,(PSPTO_2176 or PSPTO_4103),
rxn04271_c,(PSPTO_4103 or PSPTO_2176),
rxn04278_c,PSPTO_1559,
rxn04384_c,PSPTO_1711,
rxn04385_c,PSPTO_1712,
rxn04453_c,(PSPTO_4157 or PSPTO_5041),
rxn04457_c,Unknown,
rxn04630_c,PSPTO_2709,
rxn04631_c,PSPTO_2709,
rxn04658_c,(PSPTO_4103 or PSPTO_2176),
rxn04694_c,PSPTO_2944,
rxn04706_c,PSPTO_2944,
rxn04715_c,PSPTO_2944,
rxn04722_c,PSPTO_2944,
rxn04723_c,(PSPTO_4103 or PSPTO_2176),
rxn04726_c,(PSPTO_2182 or PSPTO_2697 or PSPTO_1337 or PSPTO_4285 or PSPTO_2957),
rxn04727_c,(PSPTO_4103 or PSPTO_2176),
rxn04736_c,(PSPTO_2957 or PSPTO_4285 or PSPTO_1337 or PSPTO_2697 or PSPTO_2182),
rxn04737_c,(PSPTO_2176 or PSPTO_4103),
rxn04743_c,PSPTO_2944,
rxn04744_c,(PSPTO_2176 or PSPTO_4103),
rxn04750_c,((Unknown and PSPTO_3517) or PSPTO_3517),
rxn04783_c,PSPTO_1468,
rxn04792_c,PSPTO_1558,
rxn04840_c,(PSPTO_1172 or PSPTO_1781 or PSPTO_1719),
rxn04841_c,(PSPTO_1719 or PSPTO_1781 or PSPTO_1172),
rxn04908_c,(PSPTO_2697 or PSPTO_2182 or PSPTO_2957 or PSPTO_4285 or PSPTO_1337),
rxn04938_c,PSPTO_1558,
rxn04989_c,PSPTO_1822,
rxn04996_c,PSPTO_0809,
rxn05012_c,PSPTO_0385,
rxn05024_c,PSPTO_2742,
rxn05049_c,PSPTO_3705,
rxn05105_c,PSPTO_2047,
rxn05106_c,PSPTO_2047,
rxn05116_c,PSPTO_0552,
rxn05126_c,(PSPTO_4103 or PSPTO_2176),
rxn05127_c,(PSPTO_2176 or PSPTO_4103),
rxn05142_c,PSPTO_1108,
rxn05143_c,PSPTO_1108,
rxn05145_c,((PSPTO_3267 or PSPTO_5485) and (PSPTO_3266 or PSPTO_5484) and (PSPTO_5486 or PSPTO_3268) and (PSPTO_5487 or PSPTO_3269)),
rxn05148_c,Unknown,
rxn05160_c,((PSPTO_2400 or PSPTO_2369 or PSPTO_1161) and Unknown and (PSPTO_2398 or PSPTO_2368) and PSPTO_2367),
rxn05170_c,(PSPTO_0890 or PSPTO_0886),
rxn05189_c,(PSPTO_0763 and PSPTO_0761),
rxn05195_c,Unknown,
rxn05197_c,(PSPTO_1871 or PSPTO_1129),
rxn05201_c,PSPTO_4653,
rxn05239_c,(Unknown and PSPTO_2280),
rxn05248_c,(PSPTO_2991 or PSPTO_4685 or PSPTO_4097 or PSPTO_4098),
rxn05255_c,Unknown,
rxn05256_c,(PSPTO_2280 and Unknown),
rxn05267_c,Unknown,
rxn05292_c,(PSPTO_3598 and (PSPTO_3597 or PSPTO_3599)),
rxn05301_c,PSPTO_1817,
rxn05305_c,(PSPTO_1221 or PSPTO_3452 or PSPTO_2504),
rxn05306_c,(PSPTO_1817 and Unknown),
rxn05322_c,PSPTO_3721,
rxn05323_c,PSPTO_3721,
rxn05325_c,PSPTO_3721,
rxn05326_c,PSPTO_3721,
rxn05327_c,PSPTO_3721,
rxn05328_c,PSPTO_3721,
rxn05338_c,(PSPTO_2396 or PSPTO_3054 or PSPTO_3832 or PSPTO_4380 or PSPTO_4201),
rxn05343_c,(((PSPTO_3830 or PSPTO_4683) and PSPTO_1916) or PSPTO_2210),
rxn05344_c,(((PSPTO_4683 or PSPTO_3830) and PSPTO_1916) or PSPTO_2210),
rxn05347_c,(((PSPTO_4683 or PSPTO_3830) and PSPTO_1916) or PSPTO_2210),
rxn05359_c,(PSPTO_1916 and (PSPTO_4683 or PSPTO_3830)),
rxn05373_c,Unknown,
rxn05375_c,(PSPTO_1916 and (PSPTO_4683 or PSPTO_3830)),
rxn05379_c,((PSPTO_4683 or PSPTO_3830) and PSPTO_1916),
rxn05384_c,(PSPTO_1916 and (PSPTO_3830 or PSPTO_4683)),
rxn05398_c,Unknown,
rxn05404_c,((PSPTO_4683 or PSPTO_3830) and PSPTO_1916),
rxn05406_c,Unknown,
rxn05409_c,(PSPTO_1916 and (PSPTO_3830 or PSPTO_4683)),
rxn05421_c,((PSPTO_3830 or PSPTO_4683) and PSPTO_1916),
rxn05425_c,(PSPTO_1916 and (PSPTO_4683 or PSPTO_3830)),
rxn05429_c,(PSPTO_1916 and (PSPTO_4683 or PSPTO_3830)),
